,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2016-02-14,2.7,92.04166666666669,954.6083333333332,,,,,20.17391304347826,32.391304347826086,33.04347826086956,24.2375,22.008333333333336,1038.4,2,951.2,956.2,767.7,654.9000000000001,45,0,0,0,1
2016-02-15,4.395833333333333,94.33333333333331,966.2416666666668,,,,,69.04347826086956,47.17391304347826,80.17391304347827,25.191666666666663,24.2375,1046.3000000000002,2,1038.4,951.2,956.2,767.7,46,0,0,0,0
2016-02-16,4.620833333333334,90.5,986.3333333333334,,,,,31.47826086956522,37.56521739130435,45.08695652173913,25.929166666666664,25.191666666666663,872.0,2,1046.3000000000002,1038.4,951.2,956.2,47,0,0,0,0
2016-02-17,1.7708333333333333,97.08333333333331,983.0291666666668,,,,,33.47826086956522,37.04347826086956,46.17391304347826,16.820833333333333,25.929166666666664,605.0999999999999,1,872.0,1046.3000000000002,1038.4,951.2,48,0,0,0,0
2016-02-18,3.1666666666666665,97.79166666666669,975.7375,,,,,66.17391304347827,43.91304347826087,76.0,21.316666666666663,16.820833333333333,677.5,1,605.0999999999999,872.0,1046.3000000000002,1038.4,49,0,0,0,0
2016-02-19,4.9875,91.04166666666669,975.7666666666668,,,,,29.47826086956522,34.65217391304348,41.73913043478261,13.545833333333333,21.316666666666663,870.4,2,677.5,605.0999999999999,872.0,1046.3000000000002,50,0,0,0,0
2016-02-20,3.595833333333333,81.83333333333333,981.475,,,,,28.39130434782609,29.13043478260869,38.04347826086956,21.133333333333333,13.545833333333333,830.1,2,870.4,677.5,605.0999999999999,872.0,51,0,0,0,1
2016-02-21,7.075,76.70833333333333,975.975,,,,,31.91304347826087,36.30434782608695,44.69565217391305,26.245833333333334,21.133333333333333,874.5,2,830.1,870.4,677.5,605.0999999999999,52,0,0,0,1
2016-02-22,8.529166666666667,77.41666666666667,971.9416666666666,,,,,78.82608695652173,47.30434782608695,87.8695652173913,41.770833333333336,26.245833333333334,845.4,2,874.5,830.1,870.4,677.5,53,0,0,0,0
2016-02-23,9.679166666666667,74.875,968.4166666666666,,,,,48.52173913043478,48.26086956521739,64.0,43.57083333333333,41.770833333333336,743.7,1,845.4,874.5,830.1,870.4,54,0,0,0,0
2016-02-24,6.308333333333334,46.208333333333336,975.0166666666668,,,,,33.30434782608695,33.95652173913044,44.43478260869565,21.570833333333336,43.57083333333333,585.6,1,743.7,845.4,874.5,830.1,55,0,0,0,0
2016-02-25,3.391666666666667,70.41666666666667,971.0416666666666,,,,,19.043478260869566,30.782608695652176,31.347826086956523,23.6875,21.570833333333336,755.3,1,585.6,743.7,845.4,874.5,56,0,0,0,0
2016-02-26,3.220833333333333,76.66666666666667,973.0125,,,,,17.0,29.217391304347824,29.043478260869566,26.40416666666667,23.6875,963.5,2,755.3,585.6,743.7,845.4,57,0,0,0,0
2016-02-27,2.9625,72.91666666666667,972.2458333333334,,,,,10.08695652173913,23.39130434782609,20.39130434782609,27.116666666666664,26.40416666666667,974.9,2,963.5,755.3,585.6,743.7,58,0,0,0,1
2016-02-28,5.179166666666666,84.58333333333333,973.5041666666666,,,,,12.478260869565217,30.347826086956523,25.869565217391305,45.32916666666667,27.116666666666664,1015.9000000000001,2,974.9,963.5,755.3,585.6,59,0,0,0,1
2016-02-29,6.116666666666667,95.33333333333331,970.331818181818,,,,,35.56521739130435,36.95652173913044,47.869565217391305,28.008333333333336,45.32916666666667,,1,1015.9000000000001,974.9,963.5,755.3,60,0,0,0,0
2016-03-01,6.770833333333333,61.458333333333336,971.7,,,,,10.434782608695652,21.95652173913044,19.65217391304348,13.625,28.008333333333336,1043.3,2,,1015.9000000000001,974.9,963.5,61,0,0,0,0
2016-03-02,4.720833333333333,70.04166666666667,968.8125,,,,,46.30434782608695,47.56521739130435,62.08695652173913,32.12083333333333,13.625,903.5,2,1043.3,,1015.9000000000001,974.9,62,0,0,0,0
2016-03-03,3.7083333333333335,83.33333333333333,960.8958333333334,,,,,19.08695652173913,33.56521739130435,32.73913043478261,10.158333333333331,32.12083333333333,674.5,1,903.5,1043.3,,1015.9000000000001,63,0,0,0,0
2016-03-04,6.320833333333333,52.75,963.0416666666666,,,,,12.521739130434783,24.13043478260869,22.65217391304348,13.604166666666666,10.158333333333331,795.0,1,674.5,903.5,1043.3,,64,0,0,0,0
2016-03-05,5.5125,70.29166666666667,961.2833333333332,,,,,16.217391304347824,31.47826086956522,29.43478260869565,19.679166666666667,13.604166666666666,943.8,2,795.0,674.5,903.5,1043.3,65,0,0,0,1
2016-03-06,7.166666666666667,75.45833333333333,960.3875,,,,,4.739130434782608,13.173913043478262,10.826086956521738,11.5125,19.679166666666667,969.4000000000001,2,943.8,795.0,674.5,903.5,66,0,0,0,1
2016-03-07,2.904166666666667,88.41666666666667,963.975,,,,,15.130434782608695,33.43478260869565,29.60869565217392,11.416666666666666,11.5125,998.3,2,969.4000000000001,943.8,795.0,674.5,67,0,0,0,0
2016-03-08,3.575,88.54166666666667,970.3458333333332,,,,,16.0,35.391304347826086,31.217391304347824,16.445833333333333,11.416666666666666,1043.3,2,998.3,969.4000000000001,943.8,795.0,68,0,0,0,0
2016-03-09,4.558333333333334,76.75,973.075,,,,,17.956521739130434,34.65217391304348,32.43478260869565,26.291666666666668,16.445833333333333,930.9000000000001,2,1043.3,998.3,969.4000000000001,943.8,69,0,0,0,0
2016-03-10,6.941666666666666,64.79166666666667,971.9583333333334,,,,,30.714285714285715,42.0,46.66666666666666,30.38181818181818,26.291666666666668,694.7,1,930.9000000000001,1043.3,998.3,969.4000000000001,70,0,0,0,0
2016-03-11,8.7875,60.583333333333336,977.4375,,,,,22.217391304347824,38.65217391304348,38.0,28.079166666666666,30.38181818181818,807.0,2,694.7,930.9000000000001,1043.3,998.3,71,0,0,0,0
2016-03-12,6.666666666666667,76.83333333333333,981.8291666666668,,,,,13.347826086956522,27.43478260869565,25.08695652173913,24.875,28.079166666666666,997.3,2,807.0,694.7,930.9000000000001,1043.3,72,0,0,0,1
2016-03-13,5.583333333333333,78.0,984.375,,,,,11.478260869565217,22.26086956521739,20.869565217391305,16.883333333333333,24.875,1013.4000000000001,2,997.3,807.0,694.7,930.9000000000001,73,0,0,0,1
2016-03-14,6.283333333333334,64.625,985.0541666666668,,,,,22.91304347826087,35.21739130434783,36.82608695652174,25.616666666666664,16.883333333333333,1029.6,2,1013.4000000000001,997.3,807.0,694.7,74,0,0,0,0
2016-03-15,2.3208333333333333,74.91666666666667,978.7083333333334,,,,,30.681818181818183,43.54545454545455,47.27272727272727,27.22083333333333,25.616666666666664,1057.6,2,1029.6,1013.4000000000001,997.3,807.0,75,0,0,0,0
2016-03-16,2.5791666666666666,83.29166666666667,986.0125,,,,,20.0,30.043478260869566,31.782608695652176,21.35833333333333,27.22083333333333,935.3,2,1057.6,1029.6,1013.4000000000001,997.3,76,0,0,0,0
2016-03-17,5.9125000000000005,69.875,986.3,,,,,30.13043478260869,38.91304347826087,44.52173913043478,34.99166666666667,21.35833333333333,711.0,1,935.3,1057.6,1029.6,1013.4000000000001,77,0,0,0,0
