,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-06-12,21.4916666666667,57.25,966.183333333333,165.416666666667,0.475,2.18333333333333,7,3.65217391304348,14.5217391304348,10.3478260869565,14.1583333333333,9.86666666666667,893.7,2,870.4,487.7,565.7,764.3,164,0,1,0,0
2020-06-13,23.5708333333333,55.1666666666667,966.2375,167.708333333333,0.5125,2.25,7,0.869565217391304,9,5.39130434782609,15.7375,14.1583333333333,906.8,2,893.7,870.4,487.7,565.7,165,0,0,0,1
2020-06-14,20.6708333333333,73.5833333333333,965.558333333333,234.333333333333,0.704166666666667,2.725,10,0.347826086956522,6.65217391304348,3.60869565217391,14.1541666666667,15.7375,925.6,2,906.8,893.7,870.4,487.7,166,0,0,0,1
2020-06-15,17.5708333333333,92.1666666666667,969.495833333333,235.75,0.483333333333333,1.70416666666667,10,9.73913043478261,17.695652173913,17,10.8875,14.1541666666667,802.3,2,925.6,906.8,893.7,870.4,167,0,0,0,0
2020-06-16,19.8916666666667,69.125,969.5,221.25,0.604166666666667,2.69166666666667,10,3.04347826086957,12.8260869565217,9.1304347826087,15.4583333333333,10.8875,575.2,1,802.3,925.6,906.8,893.7,168,0,0,0,0
2020-06-17,20.3666666666667,73.75,966.408333333333,141.833333333333,0.691666666666667,2.30416666666667,6,5.26086956521739,14.9565217391304,12,18.1291666666667,15.4583333333333,704.7,1,575.2,802.3,925.6,906.8,169,0,0,0,0
2020-06-18,20.6666666666667,71.7916666666667,966.995833333333,227.666666666667,0.645833333333333,2.6,10,2.65217391304348,9.1304347826087,6.86956521739131,10.5416666666667,18.1291666666667,882.9,2,704.7,575.2,802.3,925.6,170,0,0,0,0
2020-06-19,19.8375,69.125,970.345833333333,201.833333333333,0.716666666666667,2.4,9,4.27272727272727,12.3636363636364,9.90909090909091,13.8291666666667,10.5416666666667,911.2,2,882.9,704.7,575.2,802.3,171,0,0,0,0
2020-06-20,17.3541666666667,79.25,972.704166666667,246.375,0.595833333333333,2.16666666666667,11,1.34782608695652,7.21739130434783,4.69565217391304,8.5625,13.8291666666667,681,1,911.2,882.9,704.7,575.2,172,0,0,0,1
2020-06-21,17.6333333333333,74,971.629166666667,263.75,0.895833333333333,3.67916666666667,12,0.130434782608696,4.39130434782609,2.30434782608696,11.1375,8.5625,830.5,2,681,911.2,882.9,704.7,173,0,0,0,1
2020-06-22,23.4166666666667,46.4583333333333,974.2625,283.625,1.55833333333333,5.82916666666667,13,0.608695652173913,4.21739130434783,2.65217391304348,13.1083333333333,11.1375,835.8,2,830.5,681,911.2,882.9,174,0,0,0,0
2020-06-23,22.7833333333333,48.6666666666667,976.8625,179.416666666667,0.858333333333333,3.2375,8,2.43478260869565,9.91304347826087,7.1304347826087,16.8125,13.1083333333333,626.7,1,835.8,830.5,681,911.2,175,0,0,0,0
2020-06-24,19.2166666666667,64.75,978.195833333333,139.083333333333,0.691666666666667,2.35416666666667,6,5.43478260869565,15.4347826086957,12.3478260869565,20.5291666666667,16.8125,733.5,1,626.7,835.8,830.5,681,176,0,0,0,0
2020-06-25,16.2333333333333,92.4583333333333,978.754166666667,186.625,0.454166666666667,1.8,8,5.78260869565217,17.6086956521739,13.8695652173913,13.025,20.5291666666667,915.5,2,733.5,626.7,835.8,830.5,177,0,0,0,0
2020-06-26,20.0083333333333,84.0416666666667,974.15,162.458333333333,0.433333333333333,2.02083333333333,7,4.52173913043478,12.2173913043478,10,17.575,13.025,949.8,2,915.5,733.5,626.7,835.8,178,0,0,0,0
2020-06-27,24.0541666666667,74.4583333333333,971.995833333333,146.208333333333,0.5875,2.39166666666667,6,1.78260869565217,7.69565217391304,5.43478260869565,18.4791666666667,17.575,969.4,2,949.8,915.5,733.5,626.7,179,0,0,0,1
2020-06-28,24.9,71.0416666666667,972.429166666667,153.958333333333,0.458333333333333,2.24583333333333,7,0.652173913043478,7.34782608695652,4.26086956521739,17.5125,18.4791666666667,1009.2,2,969.4,949.8,915.5,733.5,180,0,0,0,1
2020-06-29,20.0916666666667,90.0416666666667,969.720833333333,193.666666666667,0.604166666666667,2.39166666666667,9,4.78260869565217,13.7826086956522,11.0434782608696,14.7166666666667,17.5125,883.6,2,1009.2,969.4,949.8,915.5,181,0,0,0,0
2020-06-30,20.2791666666667,77.375,971.5875,175.833333333333,0.5375,2.12083333333333,8,8.17391304347826,12.3913043478261,12.9130434782609,15.3083333333333,14.7166666666667,652.5,1,883.6,1009.2,969.4,949.8,182,0,0,0,0
2020-07-01,22.4916666666667,80,969.929166666667,177.75,0.629166666666667,2.575,8,4.17391304347826,12.4782608695652,9.73913043478261,18.0083333333333,15.3083333333333,756,1,652.5,883.6,1009.2,969.4,183,0,0,0,0
2020-07-02,22.4166666666667,76.125,968.9375,138.708333333333,0.570833333333333,2.4625,6,5.39130434782609,10.9130434782609,10,13.2333333333333,18.0083333333333,979.5,2,756,652.5,883.6,1009.2,184,0,0,0,0
2020-07-03,19.7125,84.3333333333333,972.495833333333,201.25,0.508333333333333,2.04166666666667,9,6.95652173913044,14.1739130434783,12.9565217391304,12.1083333333333,13.2333333333333,986.6,2,979.5,756,652.5,883.6,185,0,0,0,0
2020-07-04,20.7916666666667,60.5833333333333,975.5125,109.458333333333,0.6125,2.15416666666667,5,1.78260869565217,8.39130434782609,5.69565217391304,12.3958333333333,12.1083333333333,997.8,2,986.6,979.5,756,652.5,186,0,0,0,1
2020-07-05,23.1875,60.9583333333333,974.2,169.333333333333,0.466666666666667,2.13333333333333,8,0.956521739130435,7.34782608695652,4.52173913043478,13.2125,12.3958333333333,992.7,2,997.8,986.6,979.5,756,187,0,0,0,1
2020-07-06,23.5666666666667,64.9166666666667,969.470833333333,212.375,0.691666666666667,2.97083333333333,9,4.82608695652174,12.7826086956522,10.5217391304348,17.4708333333333,13.2125,855.7,2,992.7,997.8,986.6,979.5,188,0,0,0,0
2020-07-07,18.4166666666667,61.5,975.041666666667,183.791666666667,0.75,2.825,8,5.1304347826087,9.95652173913044,9.39130434782609,12.1791666666667,17.4708333333333,628.5,1,855.7,992.7,997.8,986.6,189,0,0,0,0
2020-07-08,20.0833333333333,60.7083333333333,974.783333333333,177.791666666667,0.5625,2.32916666666667,8,4.60869565217391,11.3913043478261,9.56521739130435,15.855,12.1791666666667,734.7,1,628.5,855.7,992.7,997.8,190,0,0,0,0
2020-07-09,22.85,63.4166666666667,975.104166666667,167.541666666667,0.525,2.22916666666667,7,4.21739130434783,13.2608695652174,10.2173913043478,22.2,15.855,943.1,2,734.7,628.5,855.7,992.7,191,0,0,0,0
2020-07-10,25.3708333333333,61.625,971.858333333333,150.833333333333,0.566666666666667,2.13333333333333,7,5.1304347826087,16.4347826086957,12.6086956521739,24.1916666666667,22.2,944.5,2,943.1,734.7,628.5,855.7,192,0,0,0,0
2020-07-11,19.1458333333333,85.625,974.558333333333,201.416666666667,0.441666666666667,2.15,9,1.43478260869565,10.0869565217391,6.30434782608696,14.95,24.1916666666667,950.2,2,944.5,943.1,734.7,628.5,193,0,0,0,1
2020-07-12,17.5333333333333,66.8333333333333,980.658333333333,127.25,0.754166666666667,2.67083333333333,6,0.652173913043478,4.52173913043478,2.8695652173913,9.34583333333333,14.95,954.2,2,950.2,944.5,943.1,734.7,194,0,0,0,1
2020-07-13,17.9958333333333,59.625,979.354166666667,124.416666666667,0.658333333333333,2.26666666666667,6,3.95652173913043,10.1304347826087,8.39130434782609,13.1375,9.34583333333333,828.1,2,954.2,950.2,944.5,943.1,195,0,0,0,0
2020-07-14,19.1,58.125,974.3,191.541666666667,0.625,2.3125,8,4.47826086956522,12.1739130434783,9.86956521739131,17.7291666666667,13.1375,612.5,1,828.1,954.2,950.2,944.5,196,0,0,0,0
2020-07-15,18.6666666666667,71.0833333333333,971.275,199.708333333333,0.483333333333333,2.06666666666667,9,3.73913043478261,13.1304347826087,9.73913043478261,18.1714285714286,17.7291666666667,712,1,612.5,828.1,954.2,950.2,197,0,0,0,0
2020-07-16,18.85,79.5833333333333,972.079166666667,175.625,0.479166666666667,1.99166666666667,8,5.82608695652174,13.8260869565217,11.9565217391304,16.1416666666667,18.1714285714286,901,2,712,612.5,828.1,954.2,198,0,0,0,0
2020-07-17,16.8583333333333,84.9166666666667,973.466666666667,170.583333333333,0.679166666666667,2.51666666666667,8,4.43478260869565,10.0434782608696,8.73913043478261,10.4916666666667,16.1416666666667,916.5,2,901,712,612.5,828.1,199,0,0,0,0
2020-07-18,17.0666666666667,66.375,973.291666666667,232.791666666667,0.5875,2.19166666666667,10,1.91304347826087,7.43478260869565,5.1304347826087,7.49583333333333,10.4916666666667,911.4,2,916.5,901,712,612.5,200,0,0,0,1
2020-07-19,19.3208333333333,76.4583333333333,972.979166666667,138.416666666667,0.516666666666667,1.97083333333333,6,0.608695652173913,5.17391304347826,3.17391304347826,7.6,7.49583333333333,915.1,2,911.4,916.5,901,712,201,0,0,0,1
2020-07-20,21.8041666666667,78.75,973.975,142.041666666667,0.454166666666667,2.2375,6,3.91304347826087,11.5652173913043,9.1304347826087,16.3916666666667,7.6,779.4,1,915.1,911.4,916.5,901,202,0,0,0,0
2020-07-21,23.0541666666667,74.9166666666667,975.916666666667,157.583333333333,0.616666666666667,2.15833333333333,7,5.39130434782609,12.1739130434783,10.6086956521739,17.8952380952381,16.3916666666667,573.7,1,779.4,915.1,911.4,916.5,203,0,0,0,0
2020-07-22,21.9166666666667,83.6666666666667,976.379166666667,199.375,0.608333333333333,2.15,9,2.91304347826087,11.6521739130435,8.26086956521739,17.0166666666667,17.8952380952381,679.1,1,573.7,779.4,915.1,911.4,204,0,0,0,0
2020-07-23,21.95,81.7916666666667,972.495833333333,171.416666666667,0.625,2.24583333333333,8,6.39130434782609,13.5217391304348,12.0434782608696,22.05,17.0166666666667,898.4,2,679.1,573.7,779.4,915.1,205,0,0,0,0
2020-07-24,19.7958333333333,90.7083333333333,969.7,209.75,0.3375,1.875,9,6.47826086956522,17,14.0869565217391,19.1416666666667,22.05,880.7,2,898.4,679.1,573.7,779.4,206,0,0,0,0
2020-07-25,20.8291666666667,79.7083333333333,970.479166666667,157.541666666667,0.5875,2.2375,7,1.52173913043478,9.21739130434783,6.08695652173913,13.9291666666667,19.1416666666667,897,2,880.7,898.4,679.1,573.7,207,0,0,0,1
2020-07-26,20.8875,73.9583333333333,972.220833333333,154.333333333333,0.454166666666667,1.90833333333333,7,0.782608695652174,6.95652173913044,4.26086956521739,15.6666666666667,13.9291666666667,912.4,2,897,880.7,898.4,679.1,208,0,0,0,1
