,temp,rh,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-03-04,6.2125,46.125,29.43478260869565,37.21739130434783,43.08695652173913,19.6,15.7,905.875,2,848.5,1064.0,1171.375,,64,0,0,0,0
2020-03-05,4.091666666666667,61.833333333333336,55.04545454545455,48.04545454545455,69.36363636363636,33.579166666666666,19.6,1070.25,2,905.875,848.5,1064.0,1171.375,65,0,0,0,0
2020-03-06,4.8875,83.29166666666667,46.47826086956522,54.04347826086956,65.56521739130434,15.766666666666666,33.579166666666666,1090.25,2,1070.25,905.875,848.5,1064.0,66,0,0,0,0
2020-03-07,5.504166666666666,66.75,40.82608695652174,39.17391304347826,53.17391304347826,18.5,15.766666666666666,1136.625,2,1090.25,1070.25,905.875,848.5,67,0,0,0,1
2020-03-08,4.054166666666666,65.16666666666667,17.956521739130434,37.34782608695652,34.0,17.908333333333335,18.5,1163.25,2,1136.625,1090.25,1070.25,905.875,68,0,0,0,1
2020-03-09,5.583333333333333,64.33333333333333,46.73913043478261,58.30434782608695,67.91304347826087,40.833333333333336,17.908333333333335,1079.0,2,1163.25,1136.625,1090.25,1070.25,69,0,0,0,0
2020-03-10,8.262500000000001,55.458333333333336,43.0,44.78260869565217,58.0,27.64583333333333,40.833333333333336,864.5,2,1079.0,1163.25,1136.625,1090.25,70,0,0,0,0
2020-03-11,12.0625,57.04166666666666,52.391304347826086,52.52173913043478,69.56521739130434,36.0625,27.64583333333333,924.375,2,864.5,1079.0,1163.25,1136.625,71,0,0,0,0
2020-03-12,12.066666666666668,64.5,63.391304347826086,52.0,78.08695652173913,50.11666666666667,36.0625,1107.125,2,924.375,864.5,1079.0,1163.25,72,0,0,0,0
2020-03-13,7.95,90.91666666666669,32.65217391304348,43.04347826086956,48.73913043478261,22.754166666666663,50.11666666666667,1123.75,2,1107.125,924.375,864.5,1079.0,73,0,0,0,0
2020-03-14,6.070833333333333,70.45833333333333,18.26086956521739,27.695652173913043,29.17391304347826,19.679166666666667,22.754166666666663,1126.125,2,1123.75,1107.125,924.375,864.5,74,0,0,0,1
2020-03-15,4.279166666666667,42.79166666666666,9.26086956521739,21.95652173913044,18.91304347826087,14.533333333333331,19.679166666666667,1150.5,2,1126.125,1123.75,1107.125,924.375,75,0,0,0,1
2020-03-16,4.579166666666667,54.625,33.82608695652174,47.391304347826086,51.91304347826087,28.675,14.533333333333331,1078.625,2,1150.5,1126.125,1123.75,1107.125,76,0,0,0,0
2020-03-17,9.620833333333334,57.125,34.73913043478261,44.391304347826086,51.08695652173913,35.12083333333333,28.675,873.875,2,1078.625,1150.5,1126.125,1123.75,77,0,0,0,0
2020-03-18,12.9,61.583333333333336,26.65217391304348,40.17391304347826,42.47826086956522,24.7625,35.12083333333333,913.75,2,873.875,1078.625,1150.5,1126.125,78,0,0,0,0
2020-03-19,11.866666666666667,64.45833333333333,30.695652173913043,39.60869565217392,45.30434782608695,28.2875,24.7625,1083.625,2,913.75,873.875,1078.625,1150.5,79,0,0,0,0
2020-03-20,13.004166666666668,59.04166666666666,31.82608695652174,43.0,48.08695652173913,29.71666666666667,28.2875,1109.5,2,1083.625,913.75,873.875,1078.625,80,0,0,0,0
2020-03-21,9.020833333333334,80.25,7.695652173913044,25.17391304347826,19.30434782608696,21.15833333333333,29.71666666666667,1125.625,2,1109.5,1083.625,913.75,873.875,81,0,0,0,1
2020-03-22,2.8208333333333333,61.75,3.9565217391304346,8.217391304347826,7.565217391304348,9.558333333333334,21.15833333333333,1154.125,2,1125.625,1109.5,1083.625,913.75,82,0,0,0,1
2020-03-23,0.6375000000000001,41.625,12.521739130434783,15.652173913043478,18.217391304347824,14.3,9.558333333333334,1058.875,2,1154.125,1125.625,1109.5,1083.625,83,0,0,0,0
2020-03-24,2.1375,41.375,18.13043478260869,25.73913043478261,28.043478260869566,19.941666666666663,14.3,849.5,2,1058.875,1154.125,1125.625,1109.5,84,0,0,0,0
