,temp,rh,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2021-03-17,3.758333333333333,59.79166666666666,253.4583333333333,1.0666666666666669,3.9875,11.0,6.782608695652174,22.043478260869566,17.17391304347826,11.458333333333334,11.508333333333333,1392.0,2,1659.5,1781.0,1747.0,1753.0,76,0,0,0,0
2021-03-18,3.141666666666667,55.25,209.5833333333333,0.9166666666666666,3.675,9.0,1.826086956521739,18.47826086956522,11.26086956521739,13.854166666666666,11.458333333333334,1469.0,2,1392.0,1659.5,1781.0,1747.0,77,0,0,0,0
2021-03-19,2.5916666666666663,61.083333333333336,141.625,0.5,2.2583333333333333,6.0,6.304347826086956,24.82608695652174,18.13043478260869,18.195833333333333,13.854166666666666,1688.0,3,1469.0,1392.0,1659.5,1781.0,78,0,0,0,0
2021-03-20,-0.1333333333333333,89.70833333333333,205.2083333333333,0.5541666666666667,1.8958333333333333,9.0,1.7391304347826086,16.217391304347824,9.91304347826087,12.516666666666666,18.195833333333333,1711.5,3,1688.0,1469.0,1392.0,1659.5,79,0,0,0,1
2021-03-21,-1.4791666666666667,78.66666666666667,194.91666666666663,0.4166666666666667,1.675,9.0,2.260869565217391,21.26086956521739,13.043478260869565,17.5125,12.516666666666666,1724.0,3,1711.5,1688.0,1469.0,1392.0,80,0,0,0,1
2021-03-22,3.65,60.833333333333336,284.2083333333333,1.2916666666666667,5.183333333333334,13.0,1.5217391304347827,14.043478260869565,8.608695652173912,15.104166666666666,17.5125,1767.5,3,1724.0,1711.5,1688.0,1469.0,81,0,0,0,0
2021-03-23,4.466666666666667,65.125,206.66666666666663,1.0083333333333333,3.583333333333333,9.0,10.130434782608695,20.91304347826087,19.0,18.0875,15.104166666666666,1640.0,3,1767.5,1724.0,1711.5,1688.0,82,0,0,0,0
2021-03-24,7.1375,60.04166666666666,179.79166666666666,0.6625,2.733333333333333,8.0,6.304347826086956,22.52173913043478,16.695652173913043,18.779166666666665,18.0875,1395.5,2,1640.0,1767.5,1724.0,1711.5,83,0,0,0,0
2021-03-25,7.508333333333333,63.958333333333336,164.5,0.5875,1.9416666666666669,7.0,7.391304347826087,31.52173913043478,22.26086956521739,33.86666666666667,18.779166666666665,1713.0,3,1395.5,1640.0,1767.5,1724.0,84,0,0,0,0
2021-03-26,10.416666666666666,57.958333333333336,191.25,0.5166666666666667,1.8291666666666664,8.0,9.0,34.73913043478261,25.39130434782609,33.88333333333333,33.86666666666667,1766.5,3,1713.0,1395.5,1640.0,1767.5,85,0,0,0,0
2021-03-27,11.208333333333334,60.04166666666666,190.41666666666663,1.025,3.625,8.0,3.0,23.30434782608696,14.521739130434783,25.558333333333334,33.88333333333333,1746.0,3,1766.5,1713.0,1395.5,1640.0,86,0,0,0,1
2021-03-28,8.345833333333333,78.33333333333333,174.25,0.4791666666666667,2.0500000000000003,8.0,1.0,13.217391304347826,7.6521739130434785,12.129166666666668,25.558333333333334,1756.0,3,1746.0,1766.5,1713.0,1395.5,87,0,0,0,1
2021-03-29,11.4875,60.25,232.79166666666663,0.3583333333333333,1.5125,10.0,14.391304347826088,27.95652173913044,26.043478260869566,25.42083333333333,12.129166666666668,1764.0,3,1756.0,1746.0,1766.5,1713.0,88,0,0,0,0
2021-03-30,15.6125,48.375,203.75,0.5291666666666667,1.9916666666666665,9.0,10.304347826086955,34.869565217391305,26.52173913043478,32.5,25.42083333333333,1601.0,3,1764.0,1756.0,1746.0,1766.5,89,0,0,0,0
2021-03-31,15.566666666666668,53.79166666666666,196.9583333333333,0.55,1.8041666666666665,9.0,8.73913043478261,31.43478260869565,23.43478260869565,31.52083333333333,32.5,1203.0,2,1601.0,1764.0,1756.0,1746.0,90,0,0,0,0
2021-04-01,17.087500000000002,51.958333333333336,197.04166666666663,0.6708333333333334,2.6791666666666667,9.0,10.217391304347826,28.13043478260869,22.95652173913044,36.829166666666666,31.52083333333333,1356.0,2,1203.0,1601.0,1764.0,1756.0,91,0,0,0,0
2021-04-02,15.570833333333333,58.04166666666666,155.125,0.7208333333333333,2.8208333333333333,7.0,2.0869565217391304,21.65217391304348,13.0,35.479166666666664,36.829166666666666,1437.5,2,1356.0,1203.0,1601.0,1764.0,92,0,0,0,0
2021-04-03,8.358333333333333,65.41666666666667,268.6666666666667,1.1,4.204166666666667,12.0,1.391304347826087,9.826086956521738,6.304347826086956,15.0625,35.479166666666664,1763.0,3,1437.5,1356.0,1203.0,1601.0,93,0,0,0,1
2021-04-04,6.129166666666666,56.91666666666666,267.125,0.9041666666666668,3.5,12.0,0.6956521739130435,8.91304347826087,5.304347826086956,8.995833333333334,15.0625,1770.5,3,1763.0,1437.5,1356.0,1203.0,94,0,0,1,1
2021-04-05,8.0375,57.04166666666666,167.83333333333334,0.5499999999999999,2.158333333333333,7.0,1.8695652173913044,18.17391304347826,11.043478260869565,14.4375,8.995833333333334,1779.5,3,1770.5,1763.0,1437.5,1356.0,95,1,0,0,0
