,d_temp,d_rh,n_temp,n_rh,n_pressure,n_precip,n_radiation,n_windDirDeg,n_windsp,n_windPeak,e_temp,e_rh,e_pressure,e_windDirDeg,e_windsp,e_windPeak,s_temp,s_rh,s_windDirDeg,s_windsp,s_windPeak,w_temp,w_rh,w_windDirDeg,w_windsp,w_windPeak,n_windDirClass,e_windDirClass,s_windDirClass,w_windDirClass,dayOfYear,g_holiday,g_dayAfterHoliday,g_dayBeforeHoliday,weekend
2020-09-26,9.25,73.25,9.65,70.91666666666667,958.7916666666666,0.1345833333333333,194.6,203.5833333333333,0.4916666666666667,2.9791666666666665,9.9,82.58333333333333,954.3916666666668,224.625,0.7291666666666666,3.0875,9.55,76.54166666666667,244.2083333333333,1.5583333333333331,4.191666666666666,9.7375,65.91666666666667,227.2083333333333,1.0958333333333334,4.716666666666667,9.0,10.0,11.0,10.0,270,0,0,0,1
2020-09-27,9.741666666666667,72.75,9.833333333333334,72.625,968.2083333333334,0.0041666666666666,94.05,122.375,0.7583333333333333,2.370833333333333,10.075,83.375,963.8666666666668,124.54166666666669,0.6458333333333334,2.1333333333333333,9.7,77.29166666666667,113.33333333333331,0.9541666666666666,2.3541666666666665,9.970833333333331,68.95833333333333,180.375,0.5291666666666667,2.125,5.0,6.0,5.0,8.0,271,0,0,0,1
2020-09-28,10.120833333333334,91.08333333333331,10.179166666666667,91.25,969.4458333333332,0.4204166666666666,,184.5833333333333,0.2041666666666667,1.5083333333333335,10.483333333333333,99.95833333333331,965.1125,214.0833333333333,0.5,1.9125,10.283333333333331,92.91666666666669,249.375,0.6375000000000001,2.2583333333333333,10.445833333333333,85.16666666666667,212.91666666666663,0.3916666666666666,1.7916666666666667,8.0,10.0,11.0,9.0,272,0,0,0,0
2020-09-29,12.3875,74.41666666666667,12.004166666666668,75.5,976.1125,0.0,99.9,117.70833333333331,0.4624999999999999,1.6625,12.708333333333334,84.66666666666667,972.0375,145.33333333333334,0.3458333333333334,1.5291666666666668,12.479166666666666,78.41666666666667,213.9583333333333,0.4208333333333333,1.5041666666666669,12.420833333333334,70.08333333333333,198.25,0.4833333333333333,1.7875,5.0,6.0,9.0,9.0,273,0,0,0,0
2020-09-30,13.5625,65.125,13.541666666666666,66.75,974.9791666666666,0.0,29.46666666666667,202.75,0.5958333333333333,2.8083333333333336,14.104166666666666,74.5,970.8708333333334,191.375,0.6458333333333334,2.658333333333333,13.7125,69.91666666666667,235.5,1.2833333333333334,3.5375,14.058333333333332,61.333333333333336,284.0833333333333,0.9583333333333334,3.641666666666667,9.0,8.0,10.0,13.0,274,0,0,0,0
2020-10-01,12.4375,75.66666666666667,12.929166666666667,73.45833333333333,968.1416666666668,0.1033333333333333,1.383333333333333,99.83333333333331,0.6666666666666666,2.0043478260869567,13.266666666666666,84.54166666666667,963.9,199.16666666666663,0.3125,1.4833333333333334,12.741666666666667,77.29166666666667,177.58333333333334,0.425,1.4083333333333332,13.054166666666667,71.875,183.375,0.475,1.5166666666666666,4.0,9.0,8.0,8.0,275,0,0,0,0
2020-10-02,12.541666666666666,86.54166666666667,12.55,85.45833333333333,965.525,0.0,57.775,147.95833333333334,0.3791666666666666,1.4916666666666665,13.283333333333331,95.20833333333331,961.2708333333334,196.375,0.25,1.1583333333333334,12.504166666666668,86.625,199.125,0.1999999999999999,0.8291666666666666,12.716666666666669,82.75,198.625,0.2666666666666666,1.15,7.0,9.0,9.0,9.0,276,0,0,0,0
2020-10-03,15.429166666666667,86.20833333333333,15.4125,85.83333333333333,962.9708333333332,0.24,104.8,183.8333333333333,0.5666666666666667,2.5416666666666665,16.3125,94.33333333333331,958.6916666666666,204.0,0.4666666666666666,2.0625,15.783333333333331,86.75,212.875,0.8041666666666667,2.720833333333333,15.6,82.625,151.75,0.5583333333333333,2.3291666666666666,8.0,9.0,9.0,7.0,277,0,0,0,1
2020-10-04,15.425,70.83333333333333,15.679166666666667,70.16666666666667,965.5875,0.0620833333333333,166.96666666666667,188.29166666666663,1.3625,3.908333333333333,15.85,82.0,961.4166666666666,178.33333333333334,0.6833333333333332,2.6875,15.570833333333333,76.66666666666667,165.91666666666666,1.1041666666666667,3.591666666666667,15.575,68.04166666666667,190.5,0.9666666666666668,3.408333333333333,8.0,8.0,7.0,8.0,278,0,0,0,1
2020-10-05,12.154166666666669,85.08333333333333,12.170833333333334,85.375,969.7208333333332,0.0474999999999999,102.71666666666664,193.875,0.5458333333333333,1.9291666666666665,13.029166666666669,92.75,965.4166666666666,232.29166666666663,0.4166666666666667,1.7666666666666666,12.554166666666667,85.20833333333333,215.91666666666663,0.4458333333333333,1.8416666666666668,12.491666666666667,80.29166666666667,164.625,0.5166666666666667,1.8833333333333333,9.0,10.0,10.0,7.0,279,0,0,0,0
